scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first,note
3,,,,300,0.1551,0.2405,0.2396,0.002396,
3,,,,300,0.2561,0.3704,0.435,0.00435,
3,,,,300,0.1633,0.4805,0.436,0.00436,
3,,,,300,0.1453,0.5804,0.4347,0.004347,
3,,,,500,0.1342,0.4203,0.3179,0.003179,
3,,,,500,0.1436,0.1403,0.1253,0.001253,
3,,,,500,0.144,0.1703,0.127,0.00127,
3,,,,500,0.1653,0.2604,0.1313,0.001313,
3,,,,1000,0.1435,0.1902,0.0918,0.000918,
3,,,,2000,0.1014,0.1102,0.0725,0.000725,
3,,,,2000,0.0959,0.1401,0.0768,0.000768,
3,,,,2000,0.1012,0.1302,0.0604,0.000604,
3,,,,5000,0.1124,0.1301,0.0899,0.000899,
3,,,,5000,0.1106,0.1201,0.0689,0.000689,
3,,,,5000,0.1037,0.1137,0.0606,0.000606,
3,,,,5000,0.0982,0.1036,0.0691,0.000691,
3,,,,10000,0.0841,0.1002,0.0495,0.000495,
3,,,,10000,0.092,0.0802,0.0496,0.000496,
3,,,,12000,0.0979,0.0701,0.0383,0.000383,
3,,,,12000,0.0948,0.0802,0.0207,0.000207,
3,,,,12000,0.0952,0.0902,0.0236,0.000236,
0,4.6,96,64,12000,0.0774,0.2526,0.0354,0.0106
